canonical_entity,canonical_entity_id,source_sheet,source_row,source_record_id,related_is_text,notification_title,title_vernacular
NOTIFICATION,NOTIF-00557,,86,70.,IS 1786:2008,कंक्रीट सुदृढ़ीकरण हेतु उच्च शक्ति विकृत इस्पात छड़ें एवं तार,
NOTIFICATION,NOTIF-00611,,87,71.,IS 648:2006,कोल्ड रोल्ड नॉन-ओरिएंटेड विद्युत इस्पात शीट एवं स्ट्रिप – पूर्णतः प्रसंस्कृत प्रकार (CRNO),
NOTIFICATION,NOTIF-00645,,88,72.,IS 3024:2015,ग्रेन ओरिएंटेड विद्युत इस्पात शीट एवं स्ट्रिप (CRGO),
NOTIFICATION,NOTIF-00552,,89,73.,IS 15391:2003,ओरिएंटेड विद्युत इस्पात शीट एवं स्ट्रिप – अर्ध-प्रसंस्कृत प्रकार,
NOTIFICATION,NOTIF-01182,,90,74.,IS 2062:2011,हॉट रोल्ड मध्यम एवं उच्च तन्य संरचनात्मक इस्पात,
NOTIFICATION,NOTIF-00558,,91,75.,IS 432,कंक्रीट सुदृढ़ीकरण हेतु माइल्ड स्टील एवं मध्यम तन्य इस्पात छड़ें – भाग 1 : माइल्ड स्टील एवं मध्यम तन्य इस्पात छड़ें,
NOTIFICATION,NOTIF-00559,,92,76.,IS 432,कंक्रीट सुदृढ़ीकरण हेतु माइल्ड स्टील एवं मध्यम तन्य इस्पात छड़ें – भाग 2 : हार्ड-ड्रॉन स्टील तार,
NOTIFICATION,NOTIF-00605,,93,77.,IS 513,कोल्ड रिड्यूस्ड कार्बन स्टील शीट एवं स्ट्रिप – भाग 1 : कोल्ड फॉर्मिंग एवं ड्राइंग प्रयोजन हेतु,
NOTIFICATION,NOTIF-00606,,94,78.,IS 513,कोल्ड रिड्यूस्ड कार्बन स्टील शीट एवं स्ट्रिप – भाग 2 : उच्च तन्य एवं बहु-चरणीय इस्पात,
NOTIFICATION,NOTIF-01181,,95,79.,IS 1079:2017,"हॉट रोल्ड कार्बन स्टील शीट, प्लेट एवं स्ट्रिप – विनिर्देश",
NOTIFICATION,NOTIF-00887,,96,80.,IS 1875:1992,"फोर्जिंग हेतु कार्बन स्टील बिलेट, ब्लूम, स्लैब एवं छड़ें",
NOTIFICATION,NOTIF-00932,,97,81.,IS 2879:1998,मेटल आर्क वेल्डिंग इलेक्ट्रोड हेतु माइल्ड स्टील,
NOTIFICATION,NOTIF-00494,,98,82.,IS 3502:2009,इस्पात चेकरड प्लेटें,
NOTIFICATION,NOTIF-00610,,99,83.,IS 5872:1990,कोल्ड रोल्ड इस्पात स्ट्रिप (बॉक्स स्ट्रैपिंग),
NOTIFICATION,NOTIF-00882,,100,84.,IS 5986:2017,"फॉर्मिंग एवं फ्लैन्जिंग प्रयोजनों हेतु हॉट रोल्ड इस्पात शीट, प्लेट एवं स्ट्रिप – विनिर्देश",
NOTIFICATION,NOTIF-00774,,101,85.,IS 6240:2008,"निम्न दाब द्रवीकरणीय गैस सिलेंडरों के निर्माण हेतु 6 मिमी तक की हॉट रोल्ड इस्पात प्लेट, शीट एवं स्ट्रिप",
NOTIFICATION,NOTIF-00489,,102,86.,IS 7283:1992,इंजीनियरिंग अनुप्रयोगों हेतु ब्राइट बार एवं मशीनी भागों के निर्माण के लिए हॉट रोल्ड छड़ें,
NOTIFICATION,NOTIF-01095,,103,87.,IS 7887:1992,सामान्य इंजीनियरिंग प्रयोजनों हेतु माइल्ड स्टील वायर रॉड,
NOTIFICATION,NOTIF-01042,,104,88.,IS 10748:2004,वेल्डेड ट्यूब एवं पाइपों हेतु हॉट रोल्ड इस्पात स्ट्रिप,
NOTIFICATION,NOTIF-00609,,105,89.,IS 11513:2017,कोल्ड रोलिंग प्रयोजनों हेतु हॉट रोल्ड कार्बन स्टील स्ट्रिप — विनिर्देश,
NOTIFICATION,NOTIF-01041,,106,90.,IS 15647:2006,वेल्डेड ट्यूब एवं पाइपों के लिए हॉट रोल्ड संकीर्ण चौड़ाई स्टील स्ट्रिप,
NOTIFICATION,NOTIF-00498,,107,91.,IS 7904:2017,उच्च कार्बन स्टील वायर रॉड — विनिर्देश,
NOTIFICATION,NOTIF-00776,,108,92.,IS 14246:2013,निरंतर पूर्व-पेंटेड गैल्वेनाइज्ड स्टील शीट एवं कॉइल,
NOTIFICATION,NOTIF-00810,,109,93.,IS 15965:2012,पूर्व-पेंटेड एल्युमिनियम-जिंक मिश्र धातु लेपित स्टील स्ट्रिप एवं शीट (सादा),
NOTIFICATION,NOTIF-01094,,110,94.,IS 280: 2006,सामान्य इंजीनियरिंग प्रयोजनों हेतु माइल्ड स्टील वायर,
NOTIFICATION,NOTIF-00958,,111,95.,IS 1835:1976,रस्सियों के लिए गोल स्टील वायर,
NOTIFICATION,NOTIF-00597,,112,96.,IS 3975:1999,"केबल आर्मरिंग हेतु निम्न कार्बन गैल्वेनाइज्ड स्टील वायर, फॉर्म्ड वायर एवं टेप",
NOTIFICATION,NOTIF-01093,,113,97.,IS 4368:1967,"सामान्य इंजीनियरिंग प्रयोजनों हेतु फोर्जिंग के लिए मिश्र धातु स्टील बिलेट, ब्लूम एवं स्लैब",
NOTIFICATION,NOTIF-00950,,114,98.,IS 4454 (Part 1) : 2001,यांत्रिक स्प्रिंग्स हेतु स्टील वायर भाग-1: कोल्ड ड्रॉन अनएलॉयड स्टील वायर,
NOTIFICATION,NOTIF-00951,,115,99.,IS 4454 (Part 2): 2001,यांत्रिक स्प्रिंग्स हेतु स्टील वायर भाग-2: ऑयल हार्डन्ड एवं टेम्पर्ड स्टील वायर,
NOTIFICATION,NOTIF-00702,,116,100.,IS 4824:2006,टायरों के लिए बीड वायर,
NOTIFICATION,NOTIF-00613,,117,101.,IS 11169 (Part 1): 1984,कोल्ड हेडिंग/कोल्ड एक्सट्रूज़न हेतु स्टील भाग-1: व्रॉट कार्बन एवं निम्न मिश्र धातु स्टील,
NOTIFICATION,NOTIF-01061,,118,102.,IS 11587:1986,संरचनात्मक मौसम प्रतिरोधी स्टील,
NOTIFICATION,NOTIF-00475,,119,103.,IS 15103: 2002,अग्नि प्रतिरोधी स्टील — विनिर्देश,
NOTIFICATION,NOTIF-01040,,120,104.,IS 15914:2011,"वेल्डेड गैस सिलेंडर निर्माण हेतु उच्च तन्यता शक्ति फ्लैट रोल्ड स्टील प्लेट (6 मिमी तक), शीट एवं स्ट्रिप",
NOTIFICATION,NOTIF-01178,,121,105.,IS 15961:2012,हॉट डिप एल्युमिनियम-जिंक मिश्र धातु लेपित स्टील स्ट्रिप एवं शीट (सादा),
NOTIFICATION,NOTIF-00508,,122,106.,IS 15962:2012,उन्नत भूकंपीय प्रतिरोध वाले भवनों हेतु संरचनात्मक स्टील,
NOTIFICATION,NOTIF-01155,,123,107.,IS 6527:1995,स्टेनलेस स्टील वायर रॉड,
NOTIFICATION,NOTIF-01154,,124,108.,IS 6528:1995,स्टेनलेस स्टील वायर,
