is_id,canonical_is_number,manufacturer_count,licence_count,source_file_id,source_file,source_sheet,source_row,record_disposition
STD-00908,STD-1921,3,3,F043,output__fmcs_is_coverage.csv,,217,CANONICAL
STD-00915,STD-1943,1,1,F043,output__fmcs_is_coverage.csv,,218,CANONICAL
STD-00920,STD-1993,1,1,F043,output__fmcs_is_coverage.csv,,219,CANONICAL
STD-00920,STD-1993,2,3,F043,output__fmcs_is_coverage.csv,,220,CANONICAL
STD-00923,STD-2002,3,4,F043,output__fmcs_is_coverage.csv,,221,CANONICAL
STD-00933,STD-2041,6,7,F043,output__fmcs_is_coverage.csv,,222,CANONICAL
STD-00933,STD-2041,7,7,F043,output__fmcs_is_coverage.csv,,223,CANONICAL
STD-00940,STD-2062-P1,1,1,F043,output__fmcs_is_coverage.csv,,224,CANONICAL
STD-00939,STD-2062,37,44,F043,output__fmcs_is_coverage.csv,,225,CANONICAL
STD-00945,STD-2080,6,6,F043,output__fmcs_is_coverage.csv,,226,CANONICAL
STD-00946,STD-2082,1,1,F043,output__fmcs_is_coverage.csv,,227,CANONICAL
STD-00946,STD-2082,2,2,F043,output__fmcs_is_coverage.csv,,228,CANONICAL
STD-00953,STD-2095-P1,8,8,F043,output__fmcs_is_coverage.csv,,229,CANONICAL
STD-00950,STD-209,2,2,F043,output__fmcs_is_coverage.csv,,230,CANONICAL
STD-00957,STD-21,1,1,F043,output__fmcs_is_coverage.csv,,231,CANONICAL
STD-00958,STD-210,2,3,F043,output__fmcs_is_coverage.csv,,232,CANONICAL
STD-00970,STD-2202-P1,2,2,F043,output__fmcs_is_coverage.csv,,233,CANONICAL
STD-00975,STD-2266,2,2,F043,output__fmcs_is_coverage.csv,,234,CANONICAL
STD-00975,STD-2266,2,2,F043,output__fmcs_is_coverage.csv,,235,CANONICAL
STD-00982,STD-2347,2,2,F043,output__fmcs_is_coverage.csv,,236,CANONICAL
STD-00984,STD-2365,2,2,F043,output__fmcs_is_coverage.csv,,237,CANONICAL
STD-00984,STD-2365,2,2,F043,output__fmcs_is_coverage.csv,,238,CANONICAL
STD-00990,STD-2403,3,3,F043,output__fmcs_is_coverage.csv,,239,CANONICAL
STD-00990,STD-2403,1,1,F043,output__fmcs_is_coverage.csv,,240,CANONICAL
STD-00999,STD-2494,2,2,F043,output__fmcs_is_coverage.csv,,241,CANONICAL
STD-01001,STD-2501,3,3,F043,output__fmcs_is_coverage.csv,,242,CANONICAL
STD-01002,STD-2507,4,4,F043,output__fmcs_is_coverage.csv,,243,CANONICAL
STD-01004,STD-251,1,1,F043,output__fmcs_is_coverage.csv,,244,CANONICAL
STD-01006,STD-252,16,16,F043,output__fmcs_is_coverage.csv,,245,CANONICAL
STD-01011,STD-2547,1,1,F043,output__fmcs_is_coverage.csv,,246,CANONICAL
