relationship_id,qco_id,qco_number,product_id,product_name,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-QCO_PR-0000069,QCO-00085,Stainless Steel Pipes and Tubes (Quality Control) Order,PROD-00232,Seamless Stainless Steel Pipes and Tubes - Specification,COVERED_BY,related_qco_text,related_qco_text,Stainless Steel Pipes and Tubes (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,30,1.00,
REL-QCO_PR-0000070,QCO-00085,Stainless Steel Pipes and Tubes (Quality Control) Order,PROD-00304,Welded Stainless Steel Pipes and Tubes - Specification,COVERED_BY,related_qco_text,related_qco_text,Stainless Steel Pipes and Tubes (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,31,1.00,
REL-QCO_PR-0000071,QCO-00016,Electrical Appliances / Flashlights (Quality Control) Order,PROD-00101,Flashlights - Specification,COVERED_BY,related_qco_text,related_qco_text,Electrical Appliances / Flashlights (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,32,1.00,
REL-QCO_PR-0000072,QCO-00019,Electrical Appliances (Quality Control) Order,PROD-00206,Safety of Household and Similar Electrical Appliances - Part 1: General Requirements,COVERED_BY,related_qco_text,related_qco_text,Electrical Appliances (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,33,1.00,
REL-QCO_PR-0000073,QCO-00035,Footwear made from Leather and other materials (Quality Control) Order,PROD-00255,Sports Footwear - Specification - Part 1: General Purpose Sports Footwear,COVERED_BY,related_qco_text,related_qco_text,Footwear made from Leather and other materials (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,34,1.00,
REL-QCO_PR-0000074,QCO-00039,Footwear (Quality Control) Order,PROD-00256,Sports Footwear - Specification - Part 2: Performance Sports Footwear,COVERED_BY,related_qco_text,related_qco_text,Footwear (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,35,1.00,
REL-QCO_PR-0000075,QCO-00039,Footwear (Quality Control) Order,PROD-00257,Sports Footwear - Specification - Part 3: Specialized/Outdoor & Trekking Footwear,COVERED_BY,related_qco_text,related_qco_text,Footwear (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,36,1.00,
REL-QCO_PR-0000076,QCO-00032,Footwear made from all-Rubber and all-Polymeric material (Quality Control) Order,PROD-00094,Ethylene Vinyl Acetate (EVA) Footwear - Specification,COVERED_BY,related_qco_text,related_qco_text,Footwear made from all-Rubber and all-Polymeric material (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,37,1.00,
REL-QCO_PR-0000077,QCO-00032,Footwear made from all-Rubber and all-Polymeric material (Quality Control) Order,PROD-00146,Polyvinyl Chloride (PVC) Footwear - Specification,COVERED_BY,related_qco_text,related_qco_text,Footwear made from all-Rubber and all-Polymeric material (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,38,1.00,
REL-QCO_PR-0000078,QCO-00039,Footwear (Quality Control) Order,PROD-00060,Casual Footwear - Specification - Part 1: Direct Moulded Process,COVERED_BY,related_qco_text,related_qco_text,Footwear (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,39,1.00,
REL-QCO_PR-0000079,QCO-00039,Footwear (Quality Control) Order,PROD-00061,Casual Footwear - Specification - Part 2: Stuck-On/Cemented Construction Process,COVERED_BY,related_qco_text,related_qco_text,Footwear (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,40,1.00,
REL-QCO_PR-0000080,QCO-00056,Personal Protective Equipment - Footwear (Quality Control) Order,PROD-00139,Personal Protective Equipment - Safety Footwear - Specification,COVERED_BY,related_qco_text,related_qco_text,Personal Protective Equipment - Footwear (Quality Control) Order,,F012,BIS_Products_Full_Information.xlsx,Products_Details,41,1.00,
REL-QCO_PR-0000081,QCO-00001,2 Gazette Documents listed (Click to download section),PROD-00313,Work Chairs - Specification,COVERED_BY,related_qco_text,related_qco_text,2 Gazette Documents listed (Click to download section),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,2,1.00,
REL-QCO_PR-0000082,QCO-00043,Furniture (Quality Control) Order,PROD-00107,General Purpose Chairs and Stools - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,3,1.00,
REL-QCO_PR-0000083,QCO-00044,Furniture (Quality Control) Order (2 Gazette Documents),PROD-00286,Tables and Desks - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order (2 Gazette Documents),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,4,1.00,
REL-QCO_PR-0000084,QCO-00043,Furniture (Quality Control) Order,PROD-00275,Storage Units - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,5,1.00,
REL-QCO_PR-0000085,QCO-00043,Furniture (Quality Control) Order,PROD-00052,Beds - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,6,1.00,
REL-QCO_PR-0000086,QCO-00043,Furniture (Quality Control) Order,PROD-00057,Bunk Beds and High Beds - Specification,COVERED_BY,related_qco_text,related_qco_text,Furniture (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,7,1.00,
REL-QCO_PR-0000087,QCO-00015,Domestic Pressure Cooker (Quality Control) Order (Mandatory Certification),PROD-00084,Domestic Pressure Cooker - Specification (Seventh Revision),COVERED_BY,related_qco_text,related_qco_text,Domestic Pressure Cooker (Quality Control) Order (Mandatory Certification),,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,8,1.00,
REL-QCO_PR-0000088,QCO-00008,Cement (Quality Control) Order,PROD-00277,Sulphate Resisting Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,9,1.00,
REL-QCO_PR-0000089,QCO-00008,Cement (Quality Control) Order,PROD-00123,Low Heat Portland Cement,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,10,1.00,
REL-QCO_PR-0000090,QCO-00008,Cement (Quality Control) Order,PROD-00152,Portland Pozzolana Cement - Specification - Part 1: Fly Ash Based,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,11,1.00,
REL-QCO_PR-0000091,QCO-00008,Cement (Quality Control) Order,PROD-00153,Portland Pozzolana Cement - Specification - Part 2: Calcined Clay Based,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,12,1.00,
REL-QCO_PR-0000092,QCO-00008,Cement (Quality Control) Order,PROD-00133,Ordinary Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,13,1.00,
REL-QCO_PR-0000093,QCO-00008,Cement (Quality Control) Order,PROD-00159,Portland Slag Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,14,1.00,
REL-QCO_PR-0000094,QCO-00008,Cement (Quality Control) Order,PROD-00169,Rapid Hardening Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,15,1.00,
REL-QCO_PR-0000095,QCO-00008,Cement (Quality Control) Order,PROD-00306,White Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,16,1.00,
REL-QCO_PR-0000096,QCO-00008,Cement (Quality Control) Order,PROD-00112,Hydrophobic Portland Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,17,1.00,
REL-QCO_PR-0000097,QCO-00008,Cement (Quality Control) Order,PROD-00067,Composite Cement - Specification,COVERED_BY,related_qco_text,related_qco_text,Cement (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,18,1.00,
REL-QCO_PR-0000098,QCO-00090,Toys (Quality Control) Order,PROD-00214,Safety of Toys - Part 1: Safety Aspects Related to Mechanical and Physical Properties,COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,19,1.00,
REL-QCO_PR-0000099,QCO-00090,Toys (Quality Control) Order,PROD-00215,Safety of Toys (Part 2 - Flammability),COVERED_BY,related_qco_text,related_qco_text,Toys (Quality Control) Order,,F013,BIS_Products_Full_Information_v2.xlsx,Products_Details,20,1.00,
