relationship_id,is_id,canonical_is_number,related_is_id,related_canonical_is_number,relationship_type,relation_context,evidence_column,evidence_value,unmatched_reference,source_file_ids,source_files,source_sheets,source_rows,confidence,review_flag
REL-IS_REL-0000109,STD-01041,IS 269,STD-00192,IS 12269,SUPERSEDES,superseded_standard,superseded_standard,IS 12269:1987,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,13,1.00,
REL-IS_REL-0000110,STD-01273,IS 455,STD-01273,IS 455,SUPERSEDES,superseded_standard,superseded_standard,IS 455:1989,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,14,1.00,
REL-IS_REL-0000111,STD-01569,IS 8041,STD-01569,IS 8041,SUPERSEDES,superseded_standard,superseded_standard,IS 8041:1978,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,15,1.00,
REL-IS_REL-0000112,STD-01570,IS 8042,STD-01570,IS 8042,SUPERSEDES,superseded_standard,superseded_standard,IS 8042:1989,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,16,1.00,
REL-IS_REL-0000113,STD-01571,IS 8043,STD-01571,IS 8043,SUPERSEDES,superseded_standard,superseded_standard,IS 8043:1978,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,17,1.00,
REL-IS_REL-0000114,STD-01730,IS 9873 (Part 1),STD-01730,IS 9873 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 1):2012,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,19,1.00,
REL-IS_REL-0000115,STD-01731,IS 9873 (Part 2),STD-01731,IS 9873 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 2):2012,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,20,1.00,
REL-IS_REL-0000116,STD-01732,IS 9873 (Part 3),STD-01732,IS 9873 (Part 3),SUPERSEDES,superseded_standard,superseded_standard,IS 9873 (Part 3):2012,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,21,1.00,
REL-IS_REL-0000117,STD-01069,IS 2835,STD-01069,IS 2835,SUPERSEDES,superseded_standard,superseded_standard,IS 2835:1977,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,24,1.00,
REL-IS_REL-0000118,STD-01015,IS 2553 (Part 1),STD-01015,IS 2553 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 2553 (Part 1):1990,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,25,1.00,
REL-IS_REL-0000119,STD-01016,IS 2553 (Part 2),STD-01016,IS 2553 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 2553 (Part 2):1992,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,26,1.00,
REL-IS_REL-0000120,STD-01707,IS 9573 (Part 1),STD-01706,IS 9573,SUPERSEDES,superseded_standard,superseded_standard,IS 9573:1998,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,27,1.00,
REL-IS_REL-0000121,STD-01708,IS 9573 (Part 2),STD-01706,IS 9573,SUPERSEDES,superseded_standard,superseded_standard,IS 9573:1998,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,28,1.00,
REL-IS_REL-0000122,STD-00947,IS 2083,STD-00947,IS 2083,SUPERSEDES,superseded_standard,superseded_standard,IS 2083:1991,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,32,1.00,
REL-IS_REL-0000123,STD-01090,IS 302 (Part 1),STD-01090,IS 302 (Part 1),SUPERSEDES,superseded_standard,superseded_standard,IS 302 (Part 1):2008,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,33,1.00,
REL-IS_REL-0000124,STD-00558,IS 15844 (Part 1),STD-00557,IS 15844,SUPERSEDES,superseded_standard,superseded_standard,IS 15844:2010,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,34,1.00,
REL-IS_REL-0000125,STD-00559,IS 15844 (Part 2),STD-00557,IS 15844,SUPERSEDES,superseded_standard,superseded_standard,IS 15844:2010,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,35,1.00,
REL-IS_REL-0000126,STD-00560,IS 15844 (Part 3),STD-00557,IS 15844,SUPERSEDES,superseded_standard,superseded_standard,IS 15844:2010,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,36,1.00,
REL-IS_REL-0000127,STD-00725,IS 17043 (Part 1),STD-00724,IS 17043,SUPERSEDES,superseded_standard,superseded_standard,IS 17043:2018,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,39,1.00,
REL-IS_REL-0000128,STD-00726,IS 17043 (Part 2),STD-00724,IS 17043,SUPERSEDES,superseded_standard,superseded_standard,IS 17043:2018,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,40,1.00,
REL-IS_REL-0000129,STD-00481,IS 15298 (Part 2),STD-00481,IS 15298 (Part 2),SUPERSEDES,superseded_standard,superseded_standard,IS 15298 (Part 2):2011,,F029,BIS_Standards_Details_v3.xlsx,BIS Standards,41,1.00,
